n abs rel number
5 3,935e+03 7,155e+01 6,293e+06
55 5,732e+04 1,006e+00 1,930e+02
105 4,236e+05 1,082e+00 7,607e+05
155 1,250e+06 9,977e-01 3,480e+05
205 1,162e+07 4,016e+00 9,916e+10
255 5,577e+06 1,003e+00 1,410e+05
305 9,547e+06 1,005e+00 1,177e+05
355 1,496e+07 9,993e-01 6,499e+03
405 2,219e+07 9,986e-01 9,724e+02
455 3,457e+07 1,097e+00 6,717e+04
505 4,302e+07 9,992e-01 5,042e+02
555 5,707e+07 9,988e-01 3,604e+03
605 7,393e+07 9,991e-01 6,061e+03
655 2,787e+09 2,969e+01 1,286e+10
705 1,171e+08 1,000e+00 1,864e+04
755 1,457e+08 1,014e+00 2,374e+05
805 1,768e+08 1,015e+00 1,122e+04
855 2,501e+08 1,198e+00 3,384e+05
905 2,607e+08 1,053e+00 5,516e+05
955 2,917e+08 1,003e+00 4,133e+04
980 3,356e+08 1,068e+00 2,035e+05
