n abs rel cond
5 3,558e-11 4,798e-12 2,237e-12
15 3,219e+02 9,142e+00 4,749e-02
25 2,888e+03 3,886e+01 6,420e-03
35 2,131e+04 1,745e+02 3,685e-03
45 4,629e+03 2,612e+01 1,454e-04
55 9,868e+03 4,134e+01 8,837e-05
65 2,965e+04 9,688e+01 9,794e-05
75 1,677e+05 4,428e+02 2,433e-04
85 2,625e+05 5,750e+02 1,910e-04
95 1,024e+05 1,901e+02 4,150e-05
105 4,423e+05 7,070e+02 1,082e-04
115 7,260e+05 1,013e+03 1,141e-04
125 2,939e+05 3,621e+02 3,116e-05
135 5,234e+06 5,747e+03 3,884e-04
145 3,494e+06 3,448e+03 1,869e-04
155 2,316e+05 2,069e+02 9,144e-06
165 3,780e+05 3,075e+02 1,124e-05
175 1,365e+07 1,017e+04 3,112e-04
185 8,870e+05 6,081e+02 1,575e-05
195 1,178e+06 7,462e+02 1,652e-05
205 4,702e+05 2,765e+02 5,285e-06
215 9,867e+07 5,402e+04 8,993e-04
225 1,141e+06 5,838e+02 8,537e-06
235 4,717e+06 2,261e+03 2,927e-05
245 1,179e+06 5,309e+02 6,131e-06
255 1,790e+06 7,592e+02 7,872e-06
265 6,470e+06 2,590e+03 2,427e-05
275 6,071e+06 2,300e+03 1,959e-05
285 1,436e+06 5,155e+02 4,015e-06
295 1,131e+06 3,857e+02 2,760e-06
305 2,447e+06 7,936e+02 5,242e-06
315 7,868e+06 2,432e+03 1,489e-05
325 2,375e+06 7,006e+02 3,993e-06
335 4,303e+06 1,213e+03 6,457e-06
345 1,621e+06 4,371e+02 2,181e-06
355 3,434e+06 8,875e+02 4,163e-06
365 4,634e+06 1,149e+03 5,080e-06
375 5,192e+06 1,236e+03 5,167e-06
385 3,499e+06 8,008e+02 3,173e-06
395 9,511e+06 2,095e+03 7,882e-06
405 5,573e+06 1,182e+03 4,233e-06
415 1,960e+06 4,008e+02 1,368e-06
425 4,848e+06 9,567e+02 3,120e-06
435 1,710e+07 3,258e+03 1,017e-05
445 9,466e+06 1,744e+03 5,212e-06
455 6,467e+06 1,152e+03 3,304e-06
465 1,678e+07 2,894e+03 7,971e-06
475 3,673e+07 6,135e+03 1,625e-05
485 9,887e+06 1,601e+03 4,082e-06
495 1,587e+07 2,492e+03 6,123e-06
