k abs rel cond
0 8,636e-16 2,587e-24 1,663e-19
1 3,992e-14 1,196e-22 7,684e-18
2 1,317e-12 3,945e-21 2,535e-16
3 3,560e-10 1,066e-18 6,852e-14
4 1,138e-08 3,408e-17 2,190e-12
5 6,419e-06 1,923e-14 1,236e-09
6 6,416e-04 1,922e-12 1,235e-07
7 3,206e-03 9,605e-12 6,172e-07
8 9,446e-02 2,829e-10 1,818e-05
9 1,436e+02 4,302e-07 2,761e-02
10 2,689e+02 8,056e-07 5,169e-02
11 1,283e+07 3,844e-02 1,714e+03
12 3,749e+05 1,123e-03 7,650e+01
13 3,241e+08 9,707e-01 1,566e+04
14 4,687e+08 1,404e+00 3,062e+04
15 4,687e+08 1,404e+00 3,062e+04
16 4,687e+08 1,404e+00 3,062e+04
17 4,687e+08 1,404e+00 3,062e+04
18 4,687e+08 1,404e+00 3,062e+04
19 4,687e+08 1,404e+00 3,062e+04
