n iter abs rel cond
10 10 1,545e-25 4,012e-28 1,086e-55
16 15 1,936e-12 1,294e-15 1,060e-29
26 22 1,861e-14 3,002e-18 5,249e-34
42 26 3,004e-13 1,174e-17 1,460e-32
69 31 1,413e-12 1,263e-17 5,968e-32
113 37 1,409e-12 2,891e-18 8,005e-33
186 49 5,318e-12 2,459e-18 1,861e-32
306 73 3,105e-12 3,235e-19 6,979e-34
504 106 1,799e-11 4,204e-19 3,389e-33
830 161 1,587e-09 8,314e-18 5,317e-32
1368 254 4,199e-09 4,915e-18 9,940e-33
2255 397 3,023e-06 7,903e-16 4,720e-30
3717 664 2,295e-08 1,340e-18 4,571e-33
6128 1068 1,060e-09 1,382e-20 1,208e-34
10103 1776 6,087e-06 1,771e-17 1,210e-31
16657 2931 7,681e-06 4,986e-18 4,403e-32
27462 4974 3,711e-05 5,376e-18 5,241e-32
45277 8395 8,955e-04 2,894e-17 2,882e-31
74649 13993 2,494e-01 1,798e-15 1,719e-29
100000 18932 2,888e-02 8,663e-17 7,693e-31
